Prot_0	Prot_6476	2
Prot_6476	Prot_5264	0
Prot_6476	Prot_971	1
Prot_6476	Prot_1592	1
Prot_6476	Prot_9827	0
Prot_6476	Prot_1296	1
Prot_6476	Prot_6855	3
Prot_6476	Prot_4249	2
Prot_6476	Prot_1370	2
Prot_6476	Prot_9077	3
Prot_6476	Prot_1598	1
Prot_6476	Prot_6380	3
Prot_6476	Prot_1219	2
Prot_6476	Prot_8449	0
Prot_6476	Prot_5678	2
Prot_6476	Prot_4877	1
Prot_6476	Prot_8619	1
Prot_6476	Prot_5681	0
Prot_6476	Prot_3695	3
Prot_6476	Prot_1459	1
Prot_6476	Prot_9629	1
Prot_6476	Prot_6255	3
Prot_6476	Prot_6795	0
Prot_6476	Prot_9919	5
Prot_6476	Prot_7625	2
Prot_6476	Prot_2616	1
Prot_6476	Prot_2283	0
Prot_6476	Prot_6263	1
Prot_6476	Prot_5626	1
Prot_6476	Prot_2534	0
Prot_6476	Prot_1387	1
Prot_6476	Prot_2039	2
Prot_6476	Prot_5942	0
Prot_6476	Prot_5776	4
Prot_6476	Prot_1835	3
Prot_6476	Prot_3466	0
Prot_6476	Prot_7153	3
Prot_6476	Prot_1547	0
Prot_6476	Prot_1399	2
Prot_6476	Prot_9108	0
Prot_6476	Prot_3253	0
Prot_6476	Prot_6415	4
Prot_6476	Prot_7319	0
Prot_6476	Prot_4607	0
Prot_6476	Prot_595	1
Prot_6476	Prot_2057	0
Prot_6476	Prot_4611	2
Prot_6476	Prot_1034	3
Prot_6476	Prot_4929	1
Prot_6476	Prot_4832	0
Prot_6476	Prot_1716	1
Prot_6476	Prot_1040	0
Prot_6476	Prot_278	0
Prot_6476	Prot_1501	2
Prot_6476	Prot_7898	2
Prot_6476	Prot_6203	1
Prot_6476	Prot_2953	2
Prot_6476	Prot_9127	0
Prot_6476	Prot_1568	1
Prot_6476	Prot_9959	2
Prot_6476	Prot_1422	2
Prot_6476	Prot_7199	2
Prot_6476	Prot_9822	1
Prot_1	Prot_604	6
Prot_1	Prot_3466	1
Prot_1	Prot_5215	5
Prot_1	Prot_7154	7
